m,r_before_b,r_before_w,m1,r_after_w,r_after_b
1,0.03,0.07,22,,4.12
2,0.13,0.16,23,4.32,4.51
3,0.24,0.29,24,4.67,4.79
4,0.34,0.38,25,4.95,5.07
5,0.42,0.47,26,5.20,5.28
6,0.54,0.58,27,5.37,5.42
7,0.66,0.71,28,5.56,5.63
8,0.77,0.83,29,5.71,5.81
9,0.92,0.96,30,5.90,5.96
10,1.06,1.09,31,6.06,6.14
11,1.17,1.23,32,6.19,6.27
12,1.31,1.36,33,6.33,6.39
13,1.44,1.54,34,6.47,6.53
14,1.58,1.67,35,6.59,6.63
15,1.75,1.86,36,6.71,6.75
16,1.94,2.07,37,6.80,6.85
17,2.15,2.25,38,6.93,6.99
18,2.36,2.47,39,7.06,7.12
19,2.58,2.77,40,7.16,7.22
20,2.89,3.09,41,7.25,7.32
21,3.26,3.52,,,
