x,h1,h2,h3,h4
16,2.35,1.75,1.05,6.85
18,1.95,2.15,1.45,6.65
20,3.25,2.2,4.9,6.1
22,0.05,5.5,5.6,5.9
24,1.1,1.65,2.45,3.2
26,2.05,1.85,2.2,5.35
28,1.8,1.15,2.2,3.7
30,2.45,2.6,4.5,5.7
34,1.9,2.25,3.95,4.4
36,2.2,1.8,3.7,4.4
40,1.85,2.75,4,5
42,1.9,1.9,3.4,4.1
44,2.2,2.3,3.1,4.9
48,1.55,2.05,3.7,4.4
50,1.8,2.05,3.2,4.3
52,1.5,2.05,3.3,3.85
54,1.7,1.7,2.9,3.9
56,2.2,1.55,3.4,4.2
58,1.9,1.2,2.8,3.3
60,2.1,2.4,4.1,4.85
62,2,1.7,3.4,3.9
66,2.3,2.2,4.2,4.8
68,2.85,1.95,4.2,5.3
70,1.9,2.3,3.8,4.6
72,1.8,1.7,2.8,4.2
74,2.2,2.4,4,5.1
76,0.7,1.75,1.6,3.3
77,1.35,1.7,1.1,4.9
78,1.1,1.8,1.2,4.8
80,1.25,2,1.5,4.8
