angle;V;I
1850;5.44;0.517
1850;4.91;0.508
1850;4.412;0.501
1850;3.915;0.491
1850;3.409;0.478
1850;2.908;0.466
1850;2.403;0.442
1850;1.9;0.413
1850;1.427;0.367
1850;0.894;0.269
1850;0.347;0.146
1850;0.211;0.126
1850;0.071;0.103
1850;0.019;0.024
1850;-0.086;0.034
1850;-0.139;0.027
1850;-0.205;0.017
1850;-0.26;0.005
1850;-0.252;0.008
1960;-0.233;0.026
1960;-0.114;0.054
1960;-0.067;0.067
1960;-0.341;0
1960;0.026;0.132
1960;0.089;0.146
1960;0.196;0.175
1960;0.294;0.202
1960;0.351;0.216
1960;0.639;0.296
2070;0.634;0.324
2070;0.348;0.242
2070;0.286;0.222
2070;0.202;0.194
2070;0.07;0.146
2070;0.028;0.134
2070;-0.042;0.076
2070;-0.114;0.057
2070;-0.154;0.049
2070;-0.196;0.036
2070;-0.231;0.027
2070;-0.309;0.006
2070;-0.298;0.011
2070;-0.33;0.002
2130;-0.309;0.003
2130;-0.292;0.007
2130;-0.12;0.064
2130;-0.082;0.075
2130;-0.034;0.088
2130;0.025;0.153
2130;0.104;0.182
2130;0.16;0.201
2130;0.201;0.215
2130;0.342;0.267
2130;0.415;0.294
2130;0.643;0.361
2130;0.647;0.358
2290;0.645;0.375
2290;0.348;0.269
2290;0.277;0.238
2290;0.08;0.149
2290;0.016;0.123
2290;0.212;0.213
2290;0.399;0.295
2290;-0.031;0.067
2290;-0.106;0.039
2290;-0.189;0.012
2290;-0.209;0.008
2290;-0.231;0.006
2290;-0.277;-0.008
2290;-0.251;0.001
